seller_id,seller_click_days,seller_add_to_cart_days,seller_purchase_days,seller_add_to_favorite_days,seller_action_total_days,seller_purchase_day_rt
293,93,14,42,66,94,0.44680851063829785
294,176,6,65,162,184,0.3532608695652174
295,73,11,44,62,73,0.6027397260273972
296,176,13,177,162,184,0.9619565217391305
297,99,12,67,75,99,0.6767676767676768
298,170,8,43,72,176,0.24431818181818182
299,140,3,72,68,144,0.5
300,176,5,46,115,181,0.2541436464088398
301,176,4,161,131,183,0.8797814207650273
302,176,4,124,86,185,0.6702702702702703
303,73,1,29,35,73,0.3972602739726027
304,176,7,102,99,184,0.5543478260869565
305,176,20,184,171,185,0.9945945945945946
306,175,4,69,128,183,0.3770491803278688
307,111,2,50,22,115,0.43478260869565216
308,176,5,78,105,183,0.4262295081967213
309,164,5,129,108,175,0.7371428571428571
310,176,33,182,180,185,0.9837837837837838
311,168,6,108,111,168,0.6428571428571429
312,163,3,26,62,166,0.1566265060240964
313,173,4,84,105,180,0.4666666666666667
314,166,8,47,87,171,0.27485380116959063
315,112,1,19,30,113,0.168141592920354
316,176,15,182,164,185,0.9837837837837838
317,175,13,37,105,181,0.20441988950276244
318,176,28,175,185,185,0.9459459459459459
319,169,5,117,65,176,0.6647727272727273
320,176,7,176,176,185,0.9513513513513514
321,170,9,63,112,176,0.35795454545454547
322,175,2,152,113,176,0.8636363636363636
323,176,21,128,175,185,0.6918918918918919
324,175,6,39,110,181,0.2154696132596685
325,175,5,57,114,181,0.3149171270718232
326,112,11,72,64,116,0.6206896551724138
327,176,18,180,173,185,0.972972972972973
328,41,2,23,33,41,0.5609756097560976
329,176,7,130,96,184,0.7065217391304348
330,38,1,7,14,41,0.17073170731707318
331,176,38,169,185,185,0.9135135135135135
332,176,5,45,146,184,0.24456521739130435
333,176,10,183,143,185,0.9891891891891892
334,144,2,27,38,146,0.18493150684931506
335,155,5,76,69,156,0.48717948717948717
336,158,2,24,47,160,0.15
337,170,1,38,69,176,0.2159090909090909
338,128,2,50,38,129,0.3875968992248062
339,176,4,80,161,185,0.43243243243243246
340,173,6,87,63,179,0.4860335195530726
341,162,4,68,73,164,0.4146341463414634
342,170,10,117,120,178,0.6573033707865169
343,141,5,32,30,146,0.2191780821917808
344,175,1,51,89,182,0.2802197802197802
345,133,2,53,40,133,0.39849624060150374
346,160,7,32,89,170,0.18823529411764706
347,176,26,184,185,185,0.9945945945945946
348,165,4,65,53,169,0.38461538461538464
349,83,6,32,69,83,0.3855421686746988
350,174,7,83,71,176,0.4715909090909091
351,172,3,117,88,180,0.65
352,171,3,45,72,178,0.25280898876404495
353,140,0,28,37,141,0.19858156028368795
354,174,5,127,119,182,0.6978021978021978
355,173,9,126,158,174,0.7241379310344828
356,68,7,35,45,69,0.5072463768115942
357,150,9,63,60,151,0.41721854304635764
358,152,4,27,69,154,0.17532467532467533
359,176,7,114,138,182,0.6263736263736264
360,164,5,103,64,168,0.6130952380952381
361,176,37,175,176,185,0.9459459459459459
362,155,1,46,92,165,0.2787878787878788
363,175,5,133,98,179,0.7430167597765364
364,176,1,54,63,179,0.3016759776536313
365,173,1,94,82,179,0.5251396648044693
366,93,4,59,57,93,0.6344086021505376
367,157,6,37,59,160,0.23125
368,149,3,75,70,149,0.5033557046979866
369,138,0,65,70,140,0.4642857142857143
370,164,6,59,63,166,0.35542168674698793
371,162,3,88,55,171,0.5146198830409356
372,161,5,40,48,167,0.23952095808383234
373,176,5,76,154,180,0.4222222222222222
374,152,2,24,69,156,0.15384615384615385
375,177,32,151,170,186,0.8118279569892473
376,173,3,57,63,176,0.32386363636363635
377,141,2,41,64,154,0.2662337662337662
378,154,1,45,61,160,0.28125
379,176,3,59,125,183,0.3224043715846995
380,176,10,154,184,185,0.8324324324324325
381,156,0,71,61,166,0.42771084337349397
382,173,6,75,52,174,0.43103448275862066
383,117,5,45,67,118,0.3813559322033898
384,151,6,108,88,151,0.7152317880794702
385,32,1,26,22,32,0.8125
386,175,2,132,145,183,0.7213114754098361
387,176,18,94,175,184,0.5108695652173914
388,175,3,88,105,182,0.4835164835164835
389,175,2,72,79,180,0.4
390,176,13,176,169,184,0.9565217391304348
391,150,4,88,52,157,0.5605095541401274
392,68,4,7,30,70,0.1
393,176,2,47,104,181,0.2596685082872928
394,145,2,78,49,149,0.5234899328859061
395,161,4,53,63,169,0.3136094674556213
396,173,2,129,80,183,0.7049180327868853
397,176,16,182,176,185,0.9837837837837838
398,175,7,89,111,179,0.4972067039106145
399,174,3,102,101,181,0.56353591160221
400,151,4,29,79,151,0.19205298013245034
401,176,28,177,185,185,0.9567567567567568
402,167,13,77,112,176,0.4375
403,169,2,72,90,177,0.4067796610169492
404,162,3,45,59,169,0.26627218934911245
405,59,2,35,38,59,0.5932203389830508
406,176,8,150,153,185,0.8108108108108109
407,125,6,32,56,130,0.24615384615384617
408,83,1,20,13,85,0.23529411764705882
409,168,2,63,80,176,0.35795454545454547
410,128,2,35,54,135,0.25925925925925924
411,176,18,185,180,185,1.0
412,176,15,103,179,184,0.5597826086956522
413,143,2,53,26,145,0.36551724137931035
414,176,13,74,173,185,0.4
415,176,15,154,115,184,0.8369565217391305
416,176,30,171,184,185,0.9243243243243243
417,120,0,52,46,121,0.4297520661157025
418,176,5,146,129,184,0.7934782608695652
419,175,2,108,67,180,0.6
420,177,43,177,185,186,0.9516129032258065
421,175,4,66,143,184,0.358695652173913
422,176,22,160,144,185,0.8648648648648649
423,176,11,116,175,185,0.6270270270270271
424,176,20,172,183,185,0.9297297297297298
425,119,1,57,48,119,0.4789915966386555
426,135,4,33,48,137,0.24087591240875914
427,144,7,30,34,150,0.2
428,65,8,43,47,65,0.6615384615384615
429,176,8,181,169,185,0.9783783783783784
430,171,3,108,100,180,0.6
431,176,5,75,166,184,0.4076086956521739
432,167,6,24,112,171,0.14035087719298245
433,150,3,50,75,154,0.3246753246753247
434,168,14,74,85,172,0.43023255813953487
435,176,19,87,136,185,0.4702702702702703
436,72,2,20,51,72,0.2777777777777778
437,176,24,98,185,185,0.5297297297297298
438,73,0,39,43,73,0.5342465753424658
439,50,4,12,31,54,0.2222222222222222
440,85,0,11,25,89,0.12359550561797752
441,158,7,57,51,161,0.35403726708074534
442,170,4,57,114,179,0.31843575418994413
443,160,5,55,74,169,0.3254437869822485
444,176,17,179,167,185,0.9675675675675676
445,176,12,135,122,185,0.7297297297297297
446,173,5,37,73,178,0.20786516853932585
447,176,9,176,146,184,0.9565217391304348
448,165,4,39,59,166,0.23493975903614459
449,176,13,168,154,184,0.9130434782608695
450,174,4,85,122,180,0.4722222222222222
451,113,0,8,31,116,0.06896551724137931
452,173,2,64,85,178,0.3595505617977528
453,139,5,116,70,139,0.8345323741007195
454,135,1,27,62,136,0.19852941176470587
455,176,6,160,128,185,0.8648648648648649
456,176,12,181,180,185,0.9783783783783784
457,176,10,181,185,185,0.9783783783783784
458,174,6,83,117,183,0.453551912568306
459,161,3,31,77,167,0.18562874251497005
460,155,2,93,75,161,0.577639751552795
461,176,43,167,185,185,0.9027027027027027
462,175,4,63,102,182,0.34615384615384615
463,175,3,87,88,181,0.48066298342541436
464,176,16,126,139,185,0.6810810810810811
465,176,7,129,181,184,0.7010869565217391
466,94,2,28,37,96,0.2916666666666667
467,176,31,184,185,185,0.9945945945945946
468,176,9,168,133,182,0.9230769230769231
469,176,3,181,125,185,0.9783783783783784
470,176,17,150,163,185,0.8108108108108109
471,176,14,117,178,185,0.6324324324324324
472,160,5,131,69,160,0.81875
473,166,9,87,83,172,0.5058139534883721
474,176,32,185,185,185,1.0
475,174,6,100,86,183,0.546448087431694
476,170,11,105,78,180,0.5833333333333334
477,175,15,109,159,184,0.592391304347826
478,96,12,56,64,98,0.5714285714285714
479,176,8,128,121,182,0.7032967032967034
480,168,5,72,81,175,0.4114285714285714
481,176,6,66,145,184,0.358695652173913
482,130,1,69,42,133,0.518796992481203
483,176,24,138,150,185,0.745945945945946
484,176,9,107,140,178,0.601123595505618
485,176,8,180,148,184,0.9782608695652174
486,50,1,13,22,50,0.26
487,176,6,36,123,180,0.2
488,70,1,30,9,71,0.4225352112676056
489,151,2,104,82,156,0.6666666666666666
490,44,2,19,23,45,0.4222222222222222
491,166,4,55,89,173,0.3179190751445087
492,61,8,45,50,61,0.7377049180327869
493,157,3,53,100,157,0.3375796178343949
494,168,5,75,60,172,0.436046511627907
495,46,5,15,32,46,0.32608695652173914
496,176,12,93,138,181,0.5138121546961326
497,134,0,43,34,139,0.30935251798561153
498,151,3,22,69,152,0.14473684210526316
499,36,4,28,26,36,0.7777777777777778
500,176,3,176,138,185,0.9513513513513514
501,176,13,124,170,184,0.6739130434782609
502,89,6,79,82,90,0.8777777777777778
503,176,34,183,183,185,0.9891891891891892
504,160,1,95,54,167,0.5688622754491018
505,94,1,35,48,94,0.3723404255319149
506,176,21,183,181,185,0.9891891891891892
507,176,5,78,137,185,0.42162162162162165
508,176,8,134,150,185,0.7243243243243244
509,135,1,28,25,140,0.2
510,173,8,86,102,177,0.4858757062146893
511,172,1,41,85,175,0.2342857142857143
512,45,6,16,26,46,0.34782608695652173
513,153,3,120,87,153,0.7843137254901961
514,176,6,126,113,181,0.6961325966850829
515,128,5,40,36,132,0.30303030303030304
516,175,2,37,83,178,0.20786516853932585
517,138,3,33,34,139,0.23741007194244604
518,174,4,108,46,180,0.6
519,176,1,112,135,182,0.6153846153846154
520,175,2,145,88,184,0.7880434782608695
521,173,7,101,92,181,0.5580110497237569
522,176,9,122,145,185,0.6594594594594595
523,176,17,168,185,185,0.9081081081081082
524,176,3,103,178,185,0.5567567567567567
525,174,6,104,101,179,0.5810055865921788
526,147,2,30,80,153,0.19607843137254902
527,176,33,174,185,185,0.9405405405405406
528,176,3,115,134,184,0.625
529,170,2,114,60,178,0.6404494382022472
530,176,7,137,169,184,0.7445652173913043
531,76,1,34,30,77,0.44155844155844154
532,175,1,46,70,179,0.2569832402234637
533,176,22,182,181,185,0.9837837837837838
534,176,8,114,160,180,0.6333333333333333
535,176,7,54,152,185,0.2918918918918919
536,176,1,134,128,183,0.73224043715847
537,99,1,27,26,100,0.27
538,160,6,97,81,166,0.5843373493975904
539,174,3,42,87,178,0.23595505617977527
540,176,10,68,143,185,0.3675675675675676
541,176,29,153,185,185,0.827027027027027
542,155,5,104,41,160,0.65
543,176,2,70,105,182,0.38461538461538464
544,159,1,71,86,162,0.4382716049382716
545,138,4,36,52,138,0.2608695652173913
546,162,5,141,117,162,0.8703703703703703
547,176,17,114,182,185,0.6162162162162163
548,166,2,25,60,170,0.14705882352941177
549,175,1,108,109,180,0.6
550,174,7,153,89,181,0.8453038674033149
551,78,1,26,63,78,0.3333333333333333
552,163,4,25,85,170,0.14705882352941177
553,150,3,33,35,154,0.21428571428571427
554,176,8,79,155,185,0.42702702702702705
555,157,5,63,45,159,0.39622641509433965
556,176,26,174,183,185,0.9405405405405406
557,176,7,100,111,182,0.5494505494505495
558,176,9,118,87,184,0.6413043478260869
559,50,0,22,18,51,0.43137254901960786
560,110,5,59,75,111,0.5315315315315315
561,176,8,183,143,185,0.9891891891891892
562,152,2,60,43,155,0.3870967741935484
563,176,6,151,146,185,0.8162162162162162
564,76,1,42,51,78,0.5384615384615384
565,176,15,165,134,184,0.8967391304347826
566,148,8,22,58,151,0.1456953642384106
567,176,46,185,185,185,1.0
568,140,2,24,37,144,0.16666666666666666
569,69,1,46,36,70,0.6571428571428571
570,66,3,5,28,66,0.07575757575757576
571,175,3,29,106,182,0.15934065934065933
572,141,1,57,71,148,0.38513513513513514
573,46,5,17,25,47,0.3617021276595745
574,176,10,114,95,185,0.6162162162162163
575,176,3,143,111,185,0.772972972972973
576,151,6,21,84,151,0.1390728476821192
577,173,8,101,97,180,0.5611111111111111
578,176,13,161,146,185,0.8702702702702703
579,172,7,92,84,181,0.5082872928176796
580,50,2,24,16,52,0.46153846153846156
581,156,1,28,35,157,0.17834394904458598
582,175,7,34,85,180,0.18888888888888888
583,175,6,166,80,183,0.907103825136612
584,175,1,150,73,183,0.819672131147541
585,176,5,176,105,185,0.9513513513513514
586,176,20,106,173,185,0.572972972972973
587,172,7,64,75,177,0.3615819209039548
588,119,7,61,64,119,0.5126050420168067
589,176,3,49,86,177,0.2768361581920904
590,176,2,95,101,184,0.5163043478260869
591,176,6,85,179,185,0.4594594594594595
592,135,4,49,49,140,0.35
593,166,3,87,54,170,0.5117647058823529
594,176,8,152,130,185,0.8216216216216217
595,176,5,102,81,179,0.5698324022346368
596,167,7,72,67,173,0.4161849710982659
597,160,3,46,71,166,0.27710843373493976
598,176,42,174,185,185,0.9405405405405406
599,106,2,74,58,107,0.6915887850467289
600,160,8,25,72,166,0.15060240963855423
601,176,16,155,177,185,0.8378378378378378
602,170,2,61,80,177,0.3446327683615819
603,176,11,47,130,184,0.2554347826086957
604,103,9,72,98,103,0.6990291262135923
605,46,5,18,24,46,0.391304347826087
606,176,63,173,185,185,0.9351351351351351
607,176,4,32,114,179,0.1787709497206704
608,176,18,150,165,185,0.8108108108108109
609,176,24,174,182,185,0.9405405405405406
610,175,2,104,138,185,0.5621621621621622
611,57,2,20,28,57,0.3508771929824561
612,176,12,82,104,183,0.44808743169398907
613,97,0,11,39,100,0.11
614,102,1,82,53,102,0.803921568627451
615,176,6,102,110,184,0.5543478260869565
616,104,5,36,63,104,0.34615384615384615
617,175,6,137,124,183,0.7486338797814208
618,63,1,21,23,64,0.328125
619,161,2,77,62,167,0.46107784431137727
620,164,4,34,63,168,0.20238095238095238
621,120,6,50,56,126,0.3968253968253968
622,176,10,112,166,185,0.6054054054054054
623,176,24,142,185,185,0.7675675675675676
624,60,0,34,23,62,0.5483870967741935
625,176,24,159,180,185,0.8594594594594595
626,173,10,104,88,175,0.5942857142857143
627,176,6,33,71,176,0.1875
628,176,34,134,185,185,0.7243243243243244
629,176,6,62,133,184,0.33695652173913043
630,176,12,54,162,185,0.2918918918918919
631,176,5,80,100,180,0.4444444444444444
632,95,0,12,32,98,0.12244897959183673
633,126,4,32,62,128,0.25
634,50,3,15,21,52,0.28846153846153844
635,176,12,146,135,185,0.7891891891891892
636,176,2,85,104,183,0.4644808743169399
637,176,1,163,136,184,0.8858695652173914
638,176,14,168,168,185,0.9081081081081082
639,136,10,106,97,144,0.7361111111111112
640,176,5,145,138,184,0.7880434782608695
641,151,3,47,59,160,0.29375
642,98,2,22,45,100,0.22
643,176,49,182,185,185,0.9837837837837838
644,176,18,164,185,185,0.8864864864864865
645,159,1,79,68,165,0.47878787878787876
646,175,5,101,97,183,0.5519125683060109
647,168,5,131,103,177,0.7401129943502824
648,165,7,27,61,175,0.15428571428571428
649,176,11,103,166,184,0.5597826086956522
650,176,6,136,116,181,0.7513812154696132
651,176,26,159,185,185,0.8594594594594595
652,173,3,87,58,181,0.48066298342541436
653,166,8,49,81,173,0.2832369942196532
654,159,6,59,83,164,0.3597560975609756
655,173,5,122,102,173,0.7052023121387283
656,172,6,31,89,177,0.1751412429378531
657,176,5,181,125,185,0.9783783783783784
658,149,1,47,58,161,0.2919254658385093
659,176,6,93,146,185,0.5027027027027027
660,98,6,53,48,98,0.5408163265306123
661,172,2,134,127,181,0.7403314917127072
662,93,2,20,17,97,0.20618556701030927
663,169,7,64,67,175,0.3657142857142857
664,176,12,77,163,185,0.41621621621621624
665,161,4,69,66,168,0.4107142857142857
666,97,6,66,73,97,0.6804123711340206
667,174,10,68,98,181,0.3756906077348066
668,163,1,45,24,165,0.2727272727272727
669,175,5,33,90,178,0.1853932584269663
670,46,1,20,28,46,0.43478260869565216
671,125,3,35,31,129,0.2713178294573643
672,172,1,35,105,176,0.19886363636363635
